GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017612321.1_422	7	0	6	7	0	0
lcl|NC_030664.1_cds_XP_017612296.1_425	5	3	10	2	5	2
lcl|NC_030664.1_cds_XP_017630207.1_429	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639681.1_430	87	58	84	87	75	41
lcl|NC_030664.1_cds_XP_017630223.1_431	25	15	14	3	12	11
lcl|NC_030664.1_cds_XP_017630231.1_432	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017613591.1_433	88	42	69	71	76	72
lcl|NC_030664.1_cds_XP_017613601.1_434	5	1	11	3	12	3
lcl|NC_030664.1_cds_XP_017624279.1_435	107	46	131	161	141	113
lcl|NC_030664.1_cds_XP_017613794.1_437	270	169	342	346	466	328
lcl|NC_030664.1_cds_XP_017628805.1_438	19	11	19	42	20	21
lcl|NC_030664.1_cds_XP_017611520.1_439	62	51	116	162	111	59
lcl|NC_030664.1_cds_XP_017624378.1_441	55	28	58	88	58	48
lcl|NC_030664.1_cds_XP_017630241.1_442	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614271.1_443	159	102	169	186	118	80
lcl|NC_030664.1_cds_XP_017628532.1_445	6	3	4	4	9	4
lcl|NC_030664.1_cds_XP_017606699.1_446	59	43	59	34	47	41
lcl|NC_030664.1_cds_XP_017606711.1_447	215	137	173	167	321	241
lcl|NC_030664.1_cds_XP_017611034.1_448	209	116	73	77	316	154
lcl|NC_030664.1_cds_XP_017622574.1_449	368	167	405	563	350	203
lcl|NC_030664.1_cds_XP_017608031.1_450	55	29	66	62	73	48
lcl|NC_030664.1_cds_XP_017641132.1_454	91	50	30	38	141	80
lcl|NC_030664.1_cds_XP_017614499.1_455	147	73	10	12	31	29
lcl|NC_030664.1_cds_XP_017630251.1_456	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630260.1_457	0	0	1	2	0	0
lcl|NC_030664.1_cds_XP_017630276.1_458	0	2	0	0	1	0
lcl|NC_030664.1_cds_XP_017637218.1_459	64	37	48	74	88	50
lcl|NC_030664.1_cds_XP_017630290.1_461	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017630340.1_467	3690	5068	4818	5556	5457	3903
lcl|NC_030664.1_cds_XP_017630462.1_471	6	0	7	3	1	0
